TRINIDAD 1 1-MABANK 2 0-i_970,GREENVILLE 1 3-CUMBY 0-i_956,BREMOND 2-MARLIN 1-i_1136,MABANK 2 1-TRINIDAD 2 0-i_972,CORSICANA 2 0-FAIRFIELD 1 0-i_1252,BREMOND 0-RIESEL 1 0-i_1515,CORSICANA 2 0-FAIRFIELD 2 0-i_1253,MOUNT PLEASANT 1 0-GREENVILLE 1 0-i_952,GREENVILLE 1 3-SULPHUR SPRINGS 0-i_955,GREENVILLE 1 0-MT. ENTERPRISE 0-i_951,WACO 2 0-JEWETT 1 0-i_1542,WILLS POINT 0-TERRELL 1 1-i_1010,FRANKLIN 2-THORNTON 0-i_844,NATALIA 0-MOORE 0-i_545,GOLIAD 0-YORKTOWN 0-i_803,PEARSALL 0-HONDO 0-i_759,POTEET 0-NATALIA 0-i_505,YOAKUM 0 - TULSITA_SOLAR 1 - 3253,KENEDY 1-PETTUS 0-i_743,SAN ANTONIO 26 0-POTEET 0-i_506,DEVINE 0-PEARSALL 1-i_761,PLEASANTON 0-LEMING 0-i_796,KENEDY 0-CHRISTINE 0-i_550,FALLS CITY 0-PLEASANTON 0-i_795,FANNIN 1-YORKTOWN 0-i_562,ATASCOSA 0-LYTLE 0-i_798,VON ORMY 0-LYTLE 0-i_799,OILTON 0-ELMENDORF 0-i_816,POTEET 0-LEMING 0-i_507,ODESSA 1 10-STERLING CITY 1 0-i_119,ROSCOE 5 2 - CHARBRAY_SOLAR - 3234,COLORADO CITY 1 - ODESSA 1 8 - 3236,STANTON 1 - COLORADO CITY 1 - 3220,BIG SPRING 6 0-SILVER 1-i_102,O DONNELL 1 1-SNYDER 2 0-i_10,SAN ANGELO 3 0-BIG LAKE 0-i_76,BIG SPRING 1 0-STERLING CITY 1 1-i_45,ROSCOE 5 2-ODESSA 1 8-i_118,OZONA 0-SONORA 0-i_79,MCCAMEY 1 1-DEL RIO 0-i_62,BIG SPRING 1 0-SAN ANGELO 3 0-i_46,CHARBRAY_SOLAR - COLORADO CITY 1 - 3235,BIG SPRING 2 0-SAN ANGELO 3 0-i_120,COAHOMA 0-FLUVANNA 1 0-i_54,BIG LAKE 0-CHRISTOVAL 1-i_75,DEL RIO 1-SANDERSON 0-i_24,JUNO_SOLAR - OXBOW_SOLAR - 3314,ALBANY 1 1-ABILENE 1 0-i_444,ALBANY 1 3-LUEDERS 0-i_338,ROSCOE 5 2-STEPHENVILLE 0-i_388,ROSCOE 5 2-STEPHENVILLE 0-i_387,ABILENE 1 1-CLYDE 0-i_446,ROSCOE 5 2-BROWNWOOD 0-i_389,ABILENE 2 0-ALBANY 1 1-i_349,ROSCOE 5 2-ALBANY 1 0-i_390,ALBANY 1 1-ABILENE 1 0-i_443,LOMETA 0-GOLDTHWAITE 1 2-i_352,CYPRESS 1 0-BRENHAM 0-i_1774,SEGUIN 1 0-NURSERY 0-i_1960,COLUMBUS 0-WHARTON 1 1-i_2007,NURSERY 2-CUERO 2 1-i_1976,KENEDY 0-VICTORIA 3 0-i_2107,ELMENDORF 0-VICTORIA 1 0-i_2090,NURSERY 0-LA GRANGE 0-i_1795,CHAPPELL HILL 0-HEMPSTEAD 0-i_2161,EDNA 0-HALLETTSVILLE 0-i_1879,INDUSTRY 0-BELLVILLE 0-i_2015,PORT LAVACA 1-REFUGIO 0-i_797,VICTORIA 3 1-FANNIN 1-i_563,TULSITA_SOLAR 1 - VICTORIA 3 0 - 3254,FANNIN 0-VICTORIA 2 1-i_559,FANNIN 0-VICTORIA 3 0-i_560,FANNIN 0-VICTORIA 3 0-i_561,VICTORIA 3 0-TAFT 1 0-i_805,SABINAL 0-D HANIS 0-i_482,BOERNE 2 1-FREDERICKSBURG 0-i_481,MARBLE FALLS 2 2-KINGSLAND 0-i_320,BURNET 1-BUCHANAN DAM 2 0-i_461,KERRVILLE 0-SAN ANTONIO 51 0-i_295,KEMPNER 0-BERTRAM 0-i_466,SAN ANGELO 1 1 - LEANDER 1 0 - 3238,MARBLE FALLS 3 0-BUCHANAN DAM 1 0-i_464,BOERNE 2 0-KERRVILLE 0-i_296,WILLOW CITY 0-BLANCO 0-i_317,HONDO 0 - SABINAL 1 - 3343,SILVERTON 0-RALLS 2 0-i_123,RALLS 2 0-CROSBYTON 0-i_124,FRYE_SOLAR 0 - ANDREWS 1 - 3210,CONIGLIO_SOlAR - LEONARD 0 - 3340,RALLS 1 0 - JUNO_SOLAR - 3217,FRYE_SOLAR 0 - LAMESA 1 - 3207,RALLS 1 2-RALLS 2 0-i_125,SUNSET 0-ALVORD 0-i_198,LEONARD 0-WOLFE CITY 0-i_186,WICHITA FALLS 1 0-OLNEY 1 0-i_220,BOWIE 0-BRIDGEPORT 1-i_214,COOPER 0-ROXTON 0-i_224,TIOGA 0-AUBREY 0-i_284,TRENTON 0-ANNA 0-i_289,TIOGA 0-PILOT POINT 0-i_285,CHICO 0-BOWIE 0-i_213,HOWE 0-PROSPER 0-i_232,DECATUR 0-FORESTBURG 0-i_155,ROCHESTER 1 - OLNEY 1 3 - 3360,MISAE_SOLAR 1 0 - DENTON 1 0 - 3227,VALLEY VIEW 0-SANGER 0-i_286,MELISSA 0-VAN ALSTYNE 0-i_283,THROCKMORTON 0-ROCHESTER 0-i_271,ARCHER CITY 0-OLNEY 2 0-i_272,GREENVILLE 1 0 - SAMSON SOLAR 3 0 - 3296,PATTONVILLE 0-COMMERCE 0-i_210,SHERMAN 1 0-MCKINNEY 3 0-i_265,CHICO 0-SUNSET 0-i_197,ARCHER 2 0-OLNEY 1 1-i_235,ARCHER CITY 0-THROCKMORTON 0-i_273,MADISONVILLE 0-CENTERVILLE 0-i_2998,SHIRO 0-WILLIS 1 0-i_2965,MADISONVILLE 0-MIDWAY 0-i_2999,MONTGOMERY 0-PLANTERSVILLE 0-i_2732,MADISONVILLE 0-HEARNE 0-i_3000,CONROE 5 0-SHIRO 1-i_2272,LUFKIN 3 0-WILLIS 2 0-i_2579,BELTON 0-ROCKDALE 1 0-i_1154,JARRELL 0-HOLLAND 1-i_1584,GEORGETOWN 3 1-KILLEEN 4 1-i_1277,GEORGETOWN 3 1-KILLEEN 3 1-i_1564,GOLDTHWAITE 1 0-MARBLE FALLS 2 0-i_1347,HOLLAND 1-BUCKHOLTS 0-i_1585,WOLFE CITY 0 - CONIGLIO_SOlAR - 3339,ROTAN 0-JAYTON 1-i_242,WAKE_SOLAR - FLUVANNA 2 0 - 3225,ELROND - ROCHESTER 1 - 3358,DISCO_SOLAR - HASKELL 1 - 3355,JAYTON 0-HERMLEIGH 1-i_240,QUEMADO 0-BRACKETTVILLE 1 0-i_476,LAUGHLIN A F B 0-BRACKETTVILLE 1 0-i_475,BRACKETTVILLE 2 0-LAUGHLIN A F B 0-i_425,DEL RIO 0 - AMISTAD_HYDRO 0 - 3364,EAGLE PASS 0-DEL RIO 0-i_393,BURLINGTON 0-CALVERT 0-i_2079,CAMERON 0-CALVERT 0-i_1892,NAVASOTA 0-WASHINGTON 0-i_1949,COLLEGE STATION 2 1-SOMERVILLE 0-i_2157,ROCKDALE 1 0-FRANKLIN 0-i_1852,COLLEGE STATION 1 0-BRENHAM 1-i_1777,PARIS 1 0-MOUNT PLEASANT 1 0-i_282,MCCAMEY 1 2 - SAN ANTONIO 50 0 - 3233
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
